Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	TimestepsThisBatch	TimestepsSoFar
5227.243413925171	34	58.143993	21.871492	108.7695	-0.7476665	21.0	0.0	2.7687619	2.7687619	2.785421799872192	2.785421799872192	1008	35280
5525.057825088501	35	66.65647	21.89082	118.50623	-0.7276552	21.0	0.0	3.1741178	3.1741178	3.190885091764538	3.190885091764538	1008	36288
5888.056059122086	36	64.76397	20.186487	98.805016	-0.6916703	21.0	0.0	3.0839987	3.0839987	3.1003378670890416	3.1003378670890416	1008	37296
6277.63511300087	37	64.71319	26.001513	118.719765	-0.8437236	21.0	0.0	3.0815802	3.0815802	3.0979547568951813	3.0979547568951813	1008	38304
6677.208718061447	38	71.371574	23.38053	118.626114	-0.85220486	21.0	0.0	3.3986464	3.3986464	3.414559924542357	3.414559924542357	1008	39312
7155.951319932938	39	69.53051	20.736586	108.75437	28.93674	21.0	0.0	3.310977	3.310977	3.327094708939863	3.327094708939863	1008	40320
7560.207703113556	40	74.67631	22.570147	118.44105	9.227492	21.0	0.0	3.5560148	3.5560148	3.572059675145799	3.572059675145799	1008	41328
7889.533998012543	41	71.52169	22.276129	108.5482	-0.903993	21.0	0.0	3.4057946	3.4057946	3.4215124747748367	3.4215124747748367	1008	42336
8197.203145980835	42	70.30457	26.61078	118.62163	-0.8661355	21.0	0.0	3.347837	3.347837	3.3634629413591544	3.3634629413591544	1008	43344
8511.623743057251	43	74.84	24.319067	108.78816	-0.9131074	21.0	0.0	3.5638094	3.5638094	3.5793568911119085	3.5793568911119085	1008	44352
8831.73777794838	44	78.36689	21.581783	118.61835	28.84407	21.0	0.0	3.7317567	3.7317567	3.747220217907805	3.747220217907805	1008	45360
9177.427248001099	45	73.170135	22.928726	118.54309	28.872463	21.0	0.0	3.4842925	3.4842925	3.4998295983105647	3.4998295983105647	1008	46368
9539.399814128876	46	82.700325	20.361082	118.698685	-0.9788466	21.0	0.0	3.9381108	3.9381108	3.953466351060969	3.953466351060969	1008	47376
9906.550069093704	47	81.41944	23.107187	118.56401	19.103138	21.0	0.0	3.8771162	3.8771162	3.8923073614565387	3.8923073614565387	1008	48384
10280.730092048645	48	81.40706	20.032404	118.270164	38.90611	21.0	0.0	3.8765268	3.8765268	3.891767443766845	3.891767443766845	1008	49392
10664.581697940826	49	89.93085	14.1257925	118.4741	58.744408	21.0	0.0	4.2824216	4.2824216	4.297480033702849	4.297480033702849	1008	50400
11062.104193925858	50	76.87124	22.920486	118.571655	18.878647	21.0	0.0	3.6605349	3.6605349	3.6755286690668965	3.6755286690668965	1008	51408
11462.23025393486	51	82.19334	24.35106	128.44579	-0.78747034	21.0	0.0	3.9139686	3.9139686	3.9291124516459606	3.9291124516459606	1008	52416
11868.321165084839	52	79.32184	24.739813	118.76753	19.124504	21.0	0.0	3.7772305	3.7772305	3.7922110835259777	3.7922110835259777	1008	53424
12283.536252975464	53	85.95217	17.272383	118.471535	48.60675	21.0	0.0	4.0929604	4.0929604	4.107665402859271	4.107665402859271	1008	54432
12708.537374019623	54	82.99291	18.786213	118.34752	18.906921	21.0	0.0	3.9520435	3.9520435	3.966677223277357	3.966677223277357	1008	55440
