Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	Log Likelihood Mean	Log Likelihood Std	KL Divergence Mean	KL Divergence Std	Negative ELBo	TimestepsThisBatch	TimestepsSoFar
446.67933201789856	27	40.40201	4.4280057	51.0	23.0	151.0	0.0	0.267563	0.267563	0.26938722	0.26938722	-0.2378882	0.5049411	1.1487706	0.59962773	0.35276526	30049	841372
460.8623731136322	28	40.572865	3.8113117	47.0	30.0	151.0	0.0	0.26869446	0.26869446	0.27074426	0.27074426	-0.17016023	0.4325718	1.0540895	0.3716877	0.2755692	30049	871421
475.10779213905334	29	41.18593	3.684901	51.0	32.0	151.0	0.0	0.2727545	0.2727545	0.27436334	0.27436334	-0.2598108	0.4917474	0.98988664	0.1755645	0.35879946	30049	901470
489.3564569950104	30	41.51759	4.0633726	53.0	27.0	151.0	0.0	0.27495092	0.27495092	0.2765524	0.2765524	-0.32502687	0.58166087	1.0933447	0.58253497	0.43436134	30049	931519
503.50280714035034	31	40.492462	4.582981	50.0	26.0	151.0	0.0	0.268162	0.268162	0.2696993	0.2696993	-0.23739639	0.4443124	1.0519524	0.24110363	0.3425916	30049	961568
517.5956161022186	32	41.386936	3.4751132	49.0	31.0	151.0	0.0	0.27408567	0.27408567	0.27534485	0.27534485	-0.2860861	0.46847832	0.9224234	0.28222764	0.37832847	30049	991617
531.3926320075989	33	41.366833	3.8451307	53.0	31.0	151.0	0.0	0.27395254	0.27395254	0.275261	0.275261	-0.40206996	0.57452554	0.90022916	0.29347235	0.4920929	30049	1021666
545.1798660755157	34	41.37186	3.6577737	49.0	25.0	151.0	0.0	0.27398583	0.27398583	0.27508083	0.27508083	-0.32760862	0.4500266	0.92806774	0.2940182	0.4204154	30049	1051715
558.7699160575867	35	41.663315	3.66598	51.0	28.0	151.0	0.0	0.275916	0.275916	0.27698073	0.27698073	-0.36173198	0.4649582	0.9525675	0.25209633	0.45698872	30049	1081764
572.4653651714325	36	41.723618	3.8225715	53.0	29.0	151.0	0.0	0.27631536	0.27631536	0.2772564	0.2772564	-0.43764707	0.45031187	1.0071536	0.861027	0.53836244	30049	1111813
586.033262014389	37	41.477386	3.9581025	53.0	30.0	151.0	0.0	0.27468467	0.27468467	0.27574977	0.27574977	-0.45685846	0.5257645	0.8579699	0.41926232	0.5426554	30049	1141862
599.7553842067719	38	41.135677	3.9995835	50.0	29.0	151.0	0.0	0.27242172	0.27242172	0.27317736	0.27317736	-0.47593594	0.5363525	0.7905011	0.408316	0.55498606	30049	1171911
613.3673141002655	39	41.160805	3.8429303	51.0	27.0	151.0	0.0	0.2725881	0.2725881	0.27331927	0.27331927	-0.38856885	0.39234725	0.8393364	0.48010036	0.47250247	30049	1201960
627.3712990283966	40	39.98995	4.247364	50.0	26.0	151.0	0.0	0.2648341	0.2648341	0.2654197	0.2654197	-0.5005903	0.5232977	0.7415897	0.4648885	0.5747493	30049	1232009
641.403254032135	41	37.723618	4.81194	51.0	24.0	151.0	0.0	0.24982528	0.24982528	0.25042886	0.25042886	-0.5167156	0.50912696	0.7401552	0.44451421	0.5907311	30049	1262058
655.494784116745	42	36.386936	5.8116183	50.0	18.0	151.0	0.0	0.24097307	0.24097307	0.24153538	0.24153538	-0.48805094	0.35662997	0.7385522	0.52353317	0.56190616	30049	1292107
669.2903730869293	43	35.14573	5.6563096	46.0	17.0	151.0	0.0	0.23275317	0.23275317	0.23329774	0.23329774	-0.5827848	0.49143407	0.65212387	0.4687079	0.6479972	30049	1322156
682.7500259876251	44	32.56784	6.574213	47.0	12.0	151.0	0.0	0.21568106	0.21568106	0.21611421	0.21611421	-0.530321	0.35430366	0.67140806	0.5729785	0.5974618	30049	1352205
696.7792270183563	45	30.512564	6.903396	46.0	9.0	151.0	0.0	0.20206995	0.20206995	0.20247112	0.20247112	-0.5476196	0.29827198	0.7053957	0.5644668	0.6181592	30049	1382254
710.445808172226	46	29.467337	7.8706684	45.0	9.0	151.0	0.0	0.19514793	0.19514793	0.19543746	0.19543746	-0.59559	0.29416147	0.57355654	0.58356744	0.6529457	30049	1412303
724.6223571300507	47	27.954773	7.604744	41.0	3.0	151.0	0.0	0.18513095	0.18513095	0.1854097	0.1854097	-0.6095286	0.49971282	0.5709109	0.6554832	0.66661966	30049	1442352
738.6144862174988	48	26.170855	7.7408366	42.0	4.0	151.0	0.0	0.17331691	0.17331691	0.17354827	0.17354827	-0.63591385	0.24735913	0.3877687	0.50685227	0.6746907	30049	1472401
752.7636921405792	49	25.643215	8.306826	43.0	1.0	151.0	0.0	0.16982262	0.16982262	0.17002614	0.17002614	-0.5993122	0.30090123	0.4870301	0.60531574	0.64801514	30049	1502450
766.8604052066803	50	27.527637	8.007408	43.0	0.0	151.0	0.0	0.18230224	0.18230224	0.18255481	0.18255481	-0.6379969	0.2328459	0.3769535	0.59486634	0.6756923	30049	1532499
780.5892870426178	51	30.155779	8.190008	45.0	5.0	151.0	0.0	0.19970715	0.19970715	0.19986413	0.19986413	-0.64429504	0.19329576	0.27840346	0.57791203	0.67213535	30049	1562548
794.6057929992676	52	32.46734	6.2532554	48.0	15.0	151.0	0.0	0.21501547	0.21501547	0.21513474	0.21513474	-0.6419841	0.16434534	0.24723507	0.61366546	0.6667076	30049	1592597
808.8812921047211	53	35.160805	5.7181954	47.0	7.0	151.0	0.0	0.23285301	0.23285301	0.23294134	0.23294134	-0.6764305	0.14896736	0.17742868	0.5544723	0.69417334	30049	1622646
822.9630970954895	54	35.9799	5.7230554	48.0	20.0	151.0	0.0	0.23827748	0.23827748	0.23830687	0.23830687	-0.6801096	0.0955622	0.05771441	0.28893688	0.685881	30049	1652695
836.9623641967773	55	37.718594	4.9348726	49.0	22.0	151.0	0.0	0.24979201	0.24979201	0.24976818	0.24976818	-0.69301367	0.01256702	0.0040812558	0.005251059	0.6934218	30049	1682744
850.6400351524353	56	38.889446	4.8128633	49.0	21.0	151.0	0.0	0.257546	0.257546	0.25755697	0.25755697	-0.6924155	0.023852063	0.0014353009	0.0006533758	0.692559	30049	1712793
864.1613252162933	57	40.331657	4.501318	53.0	23.0	151.0	0.0	0.2670971	0.2670971	0.26709658	0.26709658	-0.6943717	0.022367977	0.002741049	0.0020527814	0.6946458	30049	1742842
877.9872610569	58	40.326633	4.2802386	50.0	26.0	151.0	0.0	0.2670638	0.2670638	0.2670881	0.2670881	-0.69367504	0.023150284	0.0032627042	0.00556846	0.6940013	30049	1772891
891.5468029975891	59	40.356785	4.076941	50.0	29.0	151.0	0.0	0.26726347	0.26726347	0.2672887	0.2672887	-0.69143367	0.019491738	0.003979908	0.0027178596	0.6918316	30049	1802940
905.1734941005707	60	41.15578	3.8737428	49.0	28.0	151.0	0.0	0.2725548	0.2725548	0.27254865	0.27254865	-0.6945203	0.010434956	0.0024267666	0.00028996484	0.69476295	30049	1832989
918.8257040977478	61	40.562813	4.019403	50.0	29.0	151.0	0.0	0.2686279	0.2686279	0.26863077	0.26863077	-0.6930829	0.008067049	0.00028314212	9.1539456e-05	0.6931113	30049	1863038
933.7874121665955	62	40.17588	4.4012585	49.0	27.0	151.0	0.0	0.26606542	0.26606542	0.26606092	0.26606092	-0.69431555	0.019792724	0.0029706275	0.00045994902	0.6946126	30049	1893087
948.717208147049	63	40.61809	4.2797728	49.0	23.0	151.0	0.0	0.26899397	0.26899397	0.26897687	0.26897687	-0.69349504	0.0059952117	0.001314692	0.0008000534	0.6936264	30049	1923136
